zi,N
耽,100
聊,1008
职,225
联,1205
聚,325
聪,275
肃,218
肆,109
肉,764
肌,275
肚,100
肠,225
股,550
肢,116
肤,1018
肥,427
肩,209
肯,125
育,100
肿,109
胀,109
胃,109
胆,316
背,447
胎,109
胖,318
胜,116
胡,465
胶,318
胸,545
能,6852
脆,100
脉,116
脏,116
脑,216
脖,109
脚,425
脱,728
脸,750
腔,66
腥,109
腮,116
腰,109
腹,209
腻,416
腾,199
腿,809
膀,218
膏,341
膜,225
膨,109
臂,109
臃,109
臣,436
自,6702
至,1064
致,332
臻,109
舍,431
舒,564
舞,750
航,318
般,116
良,655
艰,334
色,1977
艺,668
艾,100
节,2247
芒,116
花,2176
苍,116
苏,1337
苑,116
若,434
苦,1140
英,768
范,116
茅,198
茶,116
草,349
荐,646
荒,116
荡,109
荣,218
药,232
荷,216
莆,116
莉,109
莎,109
莫,376
莱,216
获,209
莺,116
菇,198
菌,209
菜,981
菲,232
萄,116
萌,1366
萝,109
营,332
萨,109
落,1200
葉,109
著,116
葡,116
葱,464
蒙,448
蒜,348
蒸,109
蓉,116
蓝,116
蔡,16
薄,216
薛,109
薪,200
薯,116
藏,443
藻,100
蘑,198
虎,109
虚,332
虫,109
虽,343
虾,396
蚝,116
蛋,796
蛰,981
蛾,100
蜂,100
蜈,100
蜕,109
蜜,109
蝎,348
融,109
螺,10
蟹,232
蠢,332
血,905
行,2409
街,209
衝,116
衡,443
衣,450
补,423
表,1070
衫,832
衬,425
衰,100
袋,548
袖,316
被,2385
袭,109
裁,457
裂,191
装,1204
裙,109
裤,1039
裳,100
西,3426
要,7307
覆,109
见,1703
观,500
规,309
视,856
览,116
觉,2466
角,109
解,1056
言,868
許,116
誉,318
說,116
警,100
變,116
计,749
订,100
认,834
让,1835
训,109
记,1654
讲,860
许,1726
论,651
讽,209
设,210
证,200
评,441
诅,109
识,525
诈,100
诉,557
词,550
译,109
试,1372
诗,397
话,1840
该,833
诧,82
语,864
误,609
诱,100
说,4037
诶,315
请,743
诺,209
读,316
课,309
谁,1169
调,1361
谈,341
谋,116
谓,100
谢,1184
谦,209
谨,100
谱,117
谷,300
豁,109
豆,1109
象,1250
贝,523
负,109
贡,328
财,100
责,109
败,557
货,299
质,1281
贫,200
购,532
贴,100
贸,232
费,743
贺,200
贼,124
资,659
赋,116
赌,230
赚,225
赛,1009
赞,109
赠,109
赢,100
走,2005
赶,348
起,6153
趁,100
超,973
越,1300
趣,457
足,585
跃,109
跑,200
距,232
跟,1819
跤,109
路,1591
跳,109
踏,318
蹈,109
身,2490
躺,325
车,1334
轩,348
转,1195
轮,316
软,425
轻,791
载,209
较,232
辅,100
辆,300
辈,478
辑,225
输,100
辙,109
辛,225
辞,100
辣,314
辫,232
辰,559
辱,109
边,1542
辽,232
达,623
迁,109
迅,101
过,5017
迎,109
运,1341
近,975
还,4039
这,7536
进,1713
远,1952
违,209
连,1066
迟,100
迪,218
迫,216
述,100
迷,818
迹,341
追,441
退,327
送,1518
适,928
逃,100
选,643
透,100
递,99
途,216
逗,116
這,116
通,806
逛,109
速,216
造,434
逢,225
逸,100
逻,116
逼,500
逾,100
遇,1327
遍,116
道,2955
遗,291
遥,109
遮,443
遵,109
選,116
避,200
邀,216
還,116
那,2747
邪,1962
邮,934
郁,607
郎,109
