zi,N
帆,242
扣,121
密,146
封,146
罐,292
塑,121
谷,171
粮,122
储,121
雯,121
婷,121
茜,121
辣,456
暑,121
获,242
川,367
庆,242
截,242
批,121
决,192
吴,584
亦,292
众,121
纷,121
纭,121
醋,317
對,100
養,100
隻,100
違,100
廓,100
狐,100
寶,200
铜,141
桐,121
梗,200
麗,119
率,121
辟,121
谣,121
纪,242
掷,121
顾,242
站,171
坎,121
坷,121
减,146
鲁,121
仇,121
暇,121
扶,171
見,121
备,107
誓,121
诸,121
践,121
烂,146
劳,121
番,121
甲,221
俱,146
宣,121
协,121
议,121
签,142
检,121
午,187
略,292
青,146
瓦,121
赫,171
塔,121
菲,121
磊,292
遗,162
怒,121
哀,171
彼,121
披,121
骄,146
互,146
属,171
莽,242
葬,121
拒,363
释,121
亏,121
欠,131
往,146
恰,121
纠,121
召,121
唤,121
伸,121
乖,121
绒,171
阅,121
杭,121
厦,121
堰,121
凤,121
凰,121
古,216
镇,146
峨,121
泰,121
攻,196
麻,196
磁,121
碑,121
醉,121
洛,171
帽,121
针,171
织,171
復,121
慨,111
嗯,111
饼,67
饭,108
疑,66
瑟,21
诺,46
妖,46
夹,21
缝,21
昆,21
奢,21
侈,21
珂,46
枚,21
奖,46
育,46
唱,42
写,96
袄,21
洒,46
皱,21
纹,21
倾,21
孙,21
挂,46
抬,21
琴,21
距,96
废,21
屁,21
丑,113
逮,21
艳,21
悯,21
弯,21
嘲,21
卦,42
壹,42
急,21
律,100
绪,50
撒,50
忽,25
砖,25
肯,25
钥,50
匙,50
森,25
噢,25
弄,25
晴,25
咔,50
叽,50
敌,25
杀,25
宫,25
域,75
萨,25
郎,25
聪,25
苗,25
饥,25
饿,25
浮,50
灯,75
乙,25
阎,25
操,25
枕,50
镑,25
薰,50
菊,25
缓,25
孕,25
贱,75
怀,25
畅,50
呼,75
霾,25
卯,25
偶,75
逐,50
恍,25
惚,25
悉,25
宗,100
卤,25
鸭,25
咸,25
哨,75
捏,25
讽,25
侮,25
辱,50
击,100
艺,125
象,25
严,225
侵,25
犯,25
誉,25
权,100
劣,50
危,50
违,50
肃,50
杉,50
矶,50
爸,125
搪,25
瓷,25
缸,25
宿,25
佳,75
虎,25
陋,25
吵,25
咱,50
晃,25
俩,25
藕,100
脆,75
焯,25
挤,25
末,25
緊,25
渐,75
敷,25
衍,25
奈,50
哔,50
哩,50
框,25
岩,25
细,25
奥,25
曼,25
序,25
查,25
昔,25
居,2
祖,50
帝,100
匡,50
胤,50
恭,25
欺,25
寡,25
篡,25
疾,25
兼,25
阡,25
陌,25
链,50
阔,50
玲,25
喽,25
羊,50
侧,25
叉,25
驼,25
钮,25
錯,25
過,25
於,25
腊,75
烟,50
熏,25
统,25
嚼,25
闹,25
喻,25
乱,25
畏,50
時,50
間,25
腳,25
辰,25
脏,50
咬,50
赞,50
姨,25
况,25
捉,25
浏,25
览,25
匆,50
宵,126
丫,50
罗,50
個,25
矣,25
飯,25
瀟,25
灑,25
羈,25
頹,25
廢,25
極,25
兒,25
翠,25
哒,25
防,25
锡,25
堪,25
鹤,25
圈,140
玻,25
璃,25
渣,25
扇,25
篮,25
延,25
渴,25
姥,25
履,25
蹒,25
跚,25
骚,25
构,75
變,25
應,25
帶,25
傷,25
撞,50
墙,25
胸,25
膛,25
闷,25
晕,25
俄,25
威,25
混,25
货,25
洁,25
厨,75
沾,25
哆,100
涨,25
圣,75
兕,25
饰,50
灶,25
柜,25
